lat,lng,vlat,vlng,mag,atan2
-84,180,9.786,-9.944,13.95166413,2.364202428
-84,184,10.458,-9.387,14.0529546,2.30227854
-84,188,11.089,-8.785,14.14716035,2.240779343
-84,192,11.677,-8.14,14.23418171,2.179571215
-84,196,12.218,-7.455,14.31281066,2.118656826
-84,200,12.711,-6.734,14.3845847,2.057981074
-84,204,13.153,-5.981,14.44900585,1.997572742
-84,208,13.541,-5.198,14.50440916,1.93732172
-84,212,13.874,-4.389,14.55167334,1.8771822
-84,216,14.15,-3.56,14.59095953,1.817270999
-84,220,14.368,-2.713,14.6218943,1.757421442
-84,224,14.526,-1.853,14.64371145,1.697675435
-84,228,14.625,-0.984,14.65806539,1.637977127
-84,232,14.663,-0.11,14.6634126,1.578298062
-84,236,14.64,0.765,14.65997357,1.51858971
-84,240,14.557,1.636,14.64864311,1.458880145
-84,244,14.413,2.499,14.62804054,1.399117965
-84,248,14.21,3.349,14.59931166,1.339340905
-84,252,13.948,4.184,14.56202458,1.279365843
-84,256,13.63,4.998,14.51746893,1.219329975
-84,260,13.255,5.787,14.46320829,1.159149972
-84,264,12.827,6.549,14.40212936,1.098733551
-84,268,12.346,7.278,14.33153865,1.038131207
-84,272,11.817,7.972,14.25462286,0.977306863
-84,276,11.24,8.627,14.1690765,0.916172175
-84,280,10.62,9.241,14.07765893,0.854719466
-84,284,9.958,9.809,13.97777683,0.792935836
-84,288,9.259,10.329,13.8714571,0.730827118
-84,292,8.525,10.799,13.75841655,0.668259394
-84,296,7.76,11.217,13.63960003,0.605206169
-84,300,6.969,11.579,13.5144442,0.541790023
-84,304,6.154,11.886,13.38464463,0.477748125
-84,308,5.32,12.134,13.2490134,0.413197013
-84,312,4.47,12.324,13.10961006,0.347949857
-84,316,3.61,12.453,12.9656974,0.28215594
-84,320,2.742,12.521,12.8177223,0.215588726
-84,324,1.872,12.529,12.66807898,0.148316168
-84,328,1.004,12.476,12.51633301,0.080301461
-84,332,0.141,12.362,12.36280409,0.011405427
-84,336,-0.711,12.187,12.20772256,-0.058274799
-84,340,-1.55,11.953,12.05307882,-0.128954958
-84,344,-2.37,11.661,11.89940423,-0.200510507
-84,348,-3.168,11.313,11.74819956,-0.273038211
-84,352,-3.939,10.909,11.59836204,-0.346509581
-84,356,-4.681,10.452,11.45233884,-0.421070268
-84,0,-5.389,9.944,11.31036945,-0.496630066
-84,4,-6.061,9.387,11.17369634,-0.573332455
-84,8,-6.692,8.785,11.04350891,-0.650980685
-84,12,-7.28,8.14,10.92053112,-0.729684156
-84,16,-7.821,7.455,10.80486307,-0.809352732
-84,20,-8.314,6.734,10.6990351,-0.890012192
-84,24,-8.756,5.981,10.60376806,-0.971520332
-84,28,-9.144,5.198,10.51817189,-1.053890775
-84,32,-9.477,4.389,10.44398631,-1.137084509
-84,36,-9.753,3.56,10.38241826,-1.220807447
-84,40,-9.971,2.713,10.33349941,-1.305138404
-84,44,-10.129,1.853,10.29709911,-1.389857051
-84,48,-10.228,0.984,10.27522457,-1.474885016
-84,52,-10.266,0.11,10.26658931,-1.560081755
-84,56,-10.243,-0.765,10.27152735,-1.645343079
-84,60,-10.16,-1.636,10.2908744,-1.730449501
-84,64,-10.016,-2.499,10.32304495,-1.815305098
-84,68,-9.813,-3.349,10.36874004,-1.899683517
-84,72,-9.551,-4.184,10.4272459,-1.983684517
-84,76,-9.233,-4.998,10.49896628,-2.066950381
-84,80,-8.858,-5.787,10.58080966,-2.149493338
-84,84,-8.43,-6.549,10.67493799,-2.231272588
-84,88,-7.949,-7.278,10.77756396,-2.31215652
-84,92,-7.42,-7.972,10.89078436,-2.392041913
-84,96,-6.843,-8.627,11.01143851,-2.471007303
-84,100,-6.223,-9.241,11.14099681,-2.548934752
-84,104,-5.561,-9.809,11.27569075,-2.625845604
-84,108,-4.862,-10.329,11.41609763,-2.701647501
-84,112,-4.128,-10.799,11.56108927,-2.776474373
-84,116,-3.363,-11.217,11.71028855,-2.850307626
-84,120,-2.572,-11.579,11.86121516,-2.923015153
-84,124,-1.757,-11.886,12.01515897,-2.994834469
