Longitude,Latitude,Start Year
153.48,48.98,2016
159.15,53.589,2016
101.264,-1.697,2016
148.42,-5.525,2016
-169.944,52.825,2016
156.014,50.686,2016
151.33,-5.05,2016
159.443,54.049,2016
-70.903,-16.355,2016
116.47,-8.42,2016
177.18,-37.52,2016
55.708,-21.244,2016
-71.85,-15.78,2016
127.33,0.8,2016
116.47,-8.42,2016
155.461,50.324,2016
145.037,-4.08,2016
-88.269,13.434,2016
-90.601,14.381,2016
124.05,12.77,2016
-84.233,10.2,2016
55.708,-21.244,2016
177.18,-37.52,2016
-26.533,-59.017,2016
-87.004,12.702,2016
-169.944,52.825,2016
148.42,-5.525,2016
101.264,-1.697,2016
-27.57,-56.3,2016
155.461,50.324,2016
-161.894,55.417,2016
131.104,32.884,2016
145.037,-4.08,2016
124.05,12.77,2016
155.565,50.861,2016
-83.767,10.025,2016
-88.269,13.434,2016
-71.377,-36.863,2016
124.737,1.112,2016
15.004,37.734,2015
-86.54,12.422,2015
123.132,10.412,2015
100.473,-0.381,2015
112.95,-7.942,2015
-67.73,-23.37,2015
116.47,-8.42,2015
-83.767,10.025,2015
-86.161,11.984,2015
155.565,50.861,2015
-86.845,12.602,2015
-71.183,-37.856,2015
131.104,32.884,2015
124.792,1.358,2015
160.642,56.056,2015
-26.483,-57.8,2015
-78.436,-0.677,2015
-61.64,12.3,2015
127.33,0.8,2015
-71.85,-15.78,2015
124.13,-8.508,2015
139.021,35.233,2015
138.523,36.406,2015
-85.324,10.83,2015
-169.944,52.825,2015
-87.004,12.702,2015
130.217,30.443,2015
-91.35,0.02,2015
124.792,1.358,2015
-86.845,12.602,2015
124.05,12.77,2015
-130,45.95,2015
-75.324,4.892,2015
-72.618,-41.33,2015
-78.442,-1.467,2015
-70.903,-16.355,2015
-83.767,10.025,2015
155.461,50.324,2015
55.708,-21.244,2015
114.056,-8.119,2015
-88.269,13.434,2015
124.737,1.112,2015
160.642,56.056,2015
-175.382,-20.536,2014
127.33,0.8,2014
-75.324,4.892,2014
-71.93,-39.42,2014
-24.35,14.95,2014
-161.894,55.417,2014
154.175,48.875,2014
-83.767,10.025,2014
137.48,35.893,2014
-85.324,10.83,2014
145.037,-4.08,2014
131.104,32.884,2014
-17.516,64.633,2014
-71.85,-15.78,2014
123.685,13.257,2014
130.217,30.443,2014
152.203,-4.271,2014
-71.183,-37.856,2014
55.708,-21.244,2014
125.4,2.78,2014
159.15,53.589,2014
-161.894,55.417,2014
119.07,-8.2,2014
29.2,-1.408,2014
145.03,20.42,2014
105.423,-6.102,2014
145.964,-4.649,2014
110.442,-7.542,2014
109.208,-7.242,2014
112.308,-7.93,2014
125.4,2.78,2014
-163.97,54.756,2014
-87.004,12.702,2014
100.473,-0.381,2014
157.95,-9.02,2014
131.104,32.884,2014
-88.269,13.434,2013
-169.944,52.825,2013
140.874,27.247,2013
110.442,-7.542,2013
159.15,53.589,2013
93.858,12.278,2013
107.6,-6.77,2013
42.18,15.05,2013
98.392,3.17,2013
15.004,37.734,2013
-70.903,-16.355,2013
123.57,-8.53,2013
160.642,56.056,2013
-71.93,-39.42,2013
151.33,-5.05,2013
-159.38,56.17,2013
153.48,48.98,2013
-87.004,12.702,2013
130.308,30.789,2013
-83.767,10.025,2013
-161.894,55.417,2013
123.685,13.257,2013
-67.73,-23.37,2013
-90.601,14.381,2013
107.6,-6.77,2013
93.858,12.278,2013
147.871,45.012,2013
144.506,15.406,2013
145.964,-4.649,2013
152.203,-4.271,2013
-103.62,19.514,2013
-87.004,12.702,2012
-71.183,-37.856,2012
148.42,-5.525,2012
160.326,55.832,2012
175.632,-39.157,2012
150.875,46.525,2012
151.33,-5.05,2012
145.8,18.13,2012
121.708,-8.32,2012
-85.324,10.83,2012
155.565,50.861,2012
100.473,-0.381,2012
124.792,1.358,2012
127.33,0.8,2012
-87.004,12.702,2012
73.513,-53.106,2012
160.642,56.056,2012
147.871,45.012,2012
124.737,1.112,2012
177.18,-37.52,2012
175.632,-39.157,2012
-177.188,-25.887,2012
-179.033,-31.08,2012
-26.483,-57.8,2012
125.4,2.78,2012
-77.37,1.22,2012
124.13,-8.508,2012
151.33,-5.05,2012
150.516,-5.576,2012
-86.161,11.984,2012
100.473,-0.381,2012
-75.324,4.892,2012
-85.324,10.83,2012
-177.168,51.923,2012
141.289,24.751,2012
145.964,-4.649,2012
-83.767,10.025,2012
123.505,-8.272,2012
42.18,15.05,2011
127.33,0.8,2011
29.2,-1.408,2011
-72.97,-45.9,2011
-18.03,27.73,2011
167.5,-14.27,2011
-85.324,10.83,2011
-87.004,12.702,2011
100.473,-0.381,2011
105.423,-6.102,2011
-169.944,52.825,2011
124.737,1.112,2011
124.792,1.358,2011
35.914,-2.764,2011
41.7,13.37,2011
167.83,-15.4,2011
-72.117,-40.59,2011
-17.316,64.416,2011
131.104,32.884,2011
-86.845,12.602,2011
145.8,18.13,2011
-130,45.95,2011
160.642,56.056,2011
152.203,-4.271,2011
125.4,2.78,2011
124.792,1.358,2011
-70.568,-35.223,2011
130.862,31.934,2011
-83.767,10.025,2011
40.3,14.242,2011
112.95,-7.942,2010
-78.442,-1.467,2010
-26.483,-57.8,2010
160.32,55.131,2010
124.05,12.77,2010
110.442,-7.542,2010
105.423,-6.102,2010
55.708,-21.244,2010
93.858,12.278,2010
-70.568,-35.223,2010
98.392,3.17,2010
15.004,37.734,2010
-77.37,1.22,2010
145.037,-4.08,2010
125.4,2.78,2010
